ORG_SCORES,PROFILE_ID,GAME_ID,USER_ID,CREATE_TIME,SYS_SCORE,CREATE_BY,UPDATE_TIME,STATUS,CUR_SCORES,UPDATE_BY,SCORE_ID,CUR_SCORE,CURRENT_NUMBER
104,95632ae3-3ded-4891-b9a2-b941776bacff,e82f4878-6cf4-4652-8c9b-3f060ca5b854,user3,2009-08-31 10:55:56.0,0,SYSTEM,2009-08-31 10:55:56.0,,108,SYSTEM,06b18e56-23c1-4c7e-9777-aca0ccf4367c,4,3
254,81a9e70e-e8bb-4aec-a13d-87e8dcec8151,c7462c28-c67f-42da-b72a-282185a85cb7,user2,2009-09-04 14:24:02.0,0,SYSTEM,2009-09-04 14:24:02.0,,384,SYSTEM,1d4000e9-492c-4924-857c-0a99f869a732,130,4
100,98756c63-bdea-4f89-9b75-667c6036ef89,2e1f9b14-1ee7-44b8-828f-763a7c318f9a,user1,2009-09-03 10:07:41.0,0,SYSTEM,2009-09-03 10:07:41.0,,92,SYSTEM,229ce047-b642-4570-9727-d70c62c7e9d2,-8,2
92,98756c63-bdea-4f89-9b75-667c6036ef89,a7193642-e667-4742-ba35-89902a2610d7,user1,2009-09-04 09:39:31.0,0,SYSTEM,2009-09-04 09:39:31.0,,88,SYSTEM,34035f34-2b05-4aa9-8a23-ccb042363ba8,-4,1
-302,98756c63-bdea-4f89-9b75-667c6036ef89,c7462c28-c67f-42da-b72a-282185a85cb7,user1,2009-09-04 14:24:02.0,0,SYSTEM,2009-09-04 14:24:02.0,,-692,SYSTEM,506c2e77-c31f-4b2e-b4a3-4e2b9fb9bd73,-390,2
230,85031877-3bf9-444e-9411-c97fc19ee544,c7462c28-c67f-42da-b72a-282185a85cb7,user4,2009-09-04 14:24:02.0,0,SYSTEM,2009-09-04 14:24:02.0,,360,SYSTEM,6653cb75-2ac7-4563-874a-d60a0d32380a,130,3
112,81a9e70e-e8bb-4aec-a13d-87e8dcec8151,2e1f9b14-1ee7-44b8-828f-763a7c318f9a,user2,2009-09-03 10:07:41.0,0,SYSTEM,2009-09-03 10:07:41.0,,116,SYSTEM,74b15fe5-ab7b-4b05-b407-80ed8ee62101,4,1
104,81a9e70e-e8bb-4aec-a13d-87e8dcec8151,d058c53a-1f89-459c-b27b-9dad67902dea,user2,2009-08-31 11:07:15.0,0,SYSTEM,2009-08-31 11:07:15.0,,120,SYSTEM,9070a178-bd60-44d0-8589-7b3e4d8b4572,16,2
88,95632ae3-3ded-4891-b9a2-b941776bacff,2e1f9b14-1ee7-44b8-828f-763a7c318f9a,user3,2009-09-03 10:07:41.0,0,SYSTEM,2009-09-03 10:07:41.0,,92,SYSTEM,96013472-c3f4-46b0-b02a-729f757a6ab0,4,3
120,81a9e70e-e8bb-4aec-a13d-87e8dcec8151,eca628a6-76af-4882-8e82-9599e2b532c4,user2,2009-08-31 13:30:28.0,0,SYSTEM,2009-08-31 13:30:28.0,,112,SYSTEM,9ac275b2-c9f6-4ae9-9616-2ab89b4aa011,-8,2
92,98756c63-bdea-4f89-9b75-667c6036ef89,d058c53a-1f89-459c-b27b-9dad67902dea,user1,2009-08-31 11:05:25.0,0,SYSTEM,2009-08-31 11:05:25.0,,84,SYSTEM,9bcdbfbc-6bf4-4d8a-8fb4-e53ed977671c,-8,1
218,95632ae3-3ded-4891-b9a2-b941776bacff,c7462c28-c67f-42da-b72a-282185a85cb7,user3,2009-09-04 14:24:02.0,0,SYSTEM,2009-09-04 14:24:02.0,,348,SYSTEM,a395c238-b14c-4bf8-9344-73929821e2e5,130,1
116,81a9e70e-e8bb-4aec-a13d-87e8dcec8151,a7193642-e667-4742-ba35-89902a2610d7,user2,2009-09-04 09:39:31.0,0,SYSTEM,2009-09-04 09:39:31.0,,124,SYSTEM,a69f34f2-1cda-438b-8d16-b11b7fb57729,8,2
104,81a9e70e-e8bb-4aec-a13d-87e8dcec8151,e82f4878-6cf4-4652-8c9b-3f060ca5b854,user2,2009-08-31 10:55:56.0,0,SYSTEM,2009-08-31 10:55:56.0,,108,SYSTEM,d33009dc-5359-497f-9230-4c6e46a3bb70,4,2
96,95632ae3-3ded-4891-b9a2-b941776bacff,eca628a6-76af-4882-8e82-9599e2b532c4,user3,2009-08-31 13:30:28.0,0,SYSTEM,2009-08-31 13:30:28.0,,88,SYSTEM,d651395d-d27f-4c5b-a579-a15cd50c4305,-8,3
104,95632ae3-3ded-4891-b9a2-b941776bacff,d058c53a-1f89-459c-b27b-9dad67902dea,user3,2009-08-31 11:07:45.0,0,SYSTEM,2009-08-31 11:07:45.0,,96,SYSTEM,e317ca22-1f33-430a-b10b-c6778d5b384e,-8,3
92,95632ae3-3ded-4891-b9a2-b941776bacff,a7193642-e667-4742-ba35-89902a2610d7,user3,2009-09-04 09:39:31.0,0,SYSTEM,2009-09-04 09:39:31.0,,88,SYSTEM,e53a57ad-afe4-45c4-a73a-c17f2826ce22,-4,3
92,98756c63-bdea-4f89-9b75-667c6036ef89,e82f4878-6cf4-4652-8c9b-3f060ca5b854,user1,2009-08-31 10:55:56.0,0,SYSTEM,2009-08-31 10:55:56.0,,84,SYSTEM,e75b7536-9b5b-4fa9-af14-851b3de99fc0,-8,1
84,98756c63-bdea-4f89-9b75-667c6036ef89,eca628a6-76af-4882-8e82-9599e2b532c4,user1,2009-08-31 13:30:28.0,0,SYSTEM,2009-08-31 13:30:28.0,,100,SYSTEM,f7efc821-4815-4df2-ab57-e2560da09eab,16,1
